NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
128.2,-9.2395,5.9711,4.7125,3.6572,0.41991,2.551,94,690.04,516.04,0.61,-2.31
163.7,-10.764,5.4181,3.5555,4.5674,0.412,3.324,88.7,687.79,533.19,0.518,-1.8672
57.62,3.8101,6.0581,4.9857,2.0445,0.42322,2.817,94.6,707.68,519.28,0.596,-2.2255
47.78,3.3338,10.07,6.827,1.9186,0.44247,3.128,89.3,682.91,512.82,0.904,-2.3946
36.72,2.1908,12.006,6.1669,1.6103,0.45129,3.518,82.8,650.89,512.82,1.006,-2.3946
54.24,0.57152,10.99,4.7575,1.9905,0.44198,3.684,79.72,634.05,516.04,0.908,-2.31
78.5,-5.5247,17.881,3.7453,2.6687,0.44168,4.108,70.96,581.45,521.71,1.412,-2.1622
74.01,-8.0012,24.772,-1.4721,2.5194,0.4427,4.599,59.67,506.05,524.16,1.831,-2.0989
74.01,-8.0012,24.772,-1.4721,2.5194,0.4427,4.599,59.67,506.05,524.16,1.831,-2.0989
57.19,-24.099,15.743,-0.44355,1.3651,0.43038,5.041,58.69,513.33,522.53,1.086,-2.1411
57.19,-24.099,15.743,-0.44355,1.3651,0.43038,5.041,58.69,513.33,522.53,1.086,-2.1411
35.76,-24.861,19.467,0.26894,0.86419,0.44412,4.792,60.83,522.89,518.47,1.37,-2.2466
6.615,-19.622,41.23,-1.5463,0.75254,0.49619,5.337,56.81,507.22,520.09,2.707,-2.2044
0,-18.955,14.435,1.1798,-0.094219,NaN,4.205,64.35,530.89,505.63,1.052,-2.5853
0,-19.146,17.738,2.2068,0.022536,NaN,3.901,66.66,538.33,500.88,1.327,-2.7126
0,-19.432,14.948,1.5043,-0.08404,NaN,4.171,64.52,531.02,499.3,1.068,-2.7551
0,-21.527,21.531,2.461,0.069527,NaN,4.074,64.93,530.77,494.59,1.532,-2.8826
0,-20.575,23.057,2.0802,0.12871,NaN,4.034,64.07,522.27,493.81,1.646,-2.9039
0,-19.241,19.88,1.5566,0.061935,NaN,4.013,63.52,517.03,492.25,1.415,-2.9465
0,-20.289,15.489,1.0737,-0.10512,NaN,4.224,62.15,513.42,490.69,1.064,-2.9891
0,-20.289,17.245,1.8788,-0.032873,NaN,3.95,64.46,522.36,487.59,1.217,-3.0743
0,-19.717,20.488,3.4583,0.11929,NaN,3.572,67.79,534.93,482.97,1.499,-3.2023
0,-20.67,25.809,5.7808,0.30805,NaN,3.347,70.7,549.1,482.2,1.946,-3.2237
27.28,-23.908,23.953,4.8086,0.90645,0.46405,3.576,70.28,554.73,496.16,1.849,-2.8401
85.56,-20.86,16.465,2.3601,2.3562,0.41993,4.084,68.18,557.73,516.04,1.275,-2.31
156.9,-17.05,16.504,1.5357,4.454,0.40591,4.62,65.58,556.99,529.07,1.239,-1.9724
