NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
319.7,-0.52871,227.63,104.91,18.385,0.19794,9.25,76.43,891.86,609.56,8.37,-0.037037
350.73,-3.6129,144.05,35.55,14.859,0.18888,9.97,63.29,775.12,613.79,4.963,0.058273
0,-10.839,200.09,34.532,6.3129,NaN,10.77,58.6,757.05,642.25,6.775,0.68484
438.6,-11.808,204.98,69.411,19.78,0.17788,9.86,68.53,833.13,614.64,7.155,0.077324
242.06,-4.7584,154.95,28.136,11.859,0.17244,10.55,58.87,749.47,627.47,5.194,0.3626
529.4,-2.996,148.31,52.763,20.522,0.15955,10.51,68.27,866.83,630.06,5.019,0.41955
0,-27.493,126.95,38.133,3.8813,NaN,11.38,64.33,865.42,661.76,4.217,1.1002
924.8,-32.428,291.84,83.112,35.751,0.1437,11.15,63.35,839.34,643.13,9.54,0.70376
711.2,-20.267,138.61,62.018,25.151,0.1421,9.62,74.8,894.83,610.4,4.911,-0.017967
95.23,-3.0842,137.98,28.21,7.2877,0.1916,9.63,61.13,731.79,597.83,4.743,-0.30444
56.95,-10.398,142.16,70.774,7.3201,0.24067,8.85,78.8,895.03,582.18,5.095,-0.66861
14.935,-28.286,68.692,30.616,2.4248,0.28197,8.181,76.71,832.69,547.87,2.421,-1.4982
0,-14.628,123.85,72.233,5.1189,NaN,7.659,86,900.94,557.29,4.734,-1.2659
0,-33.573,200.64,111.28,7.852,NaN,7.841,83.9,889.91,548.65,7.344,-1.4788
0,-34.895,126.57,56.189,4.1712,NaN,7.808,77.27,817.75,537.02,4.508,-1.77
0,-18.064,174.73,55.836,5.9946,0.27031,8.153,69.43,752.23,549.43,6.201,-1.4594
0,-7.1376,149.03,74.885,6.1153,NaN,7.278,82.2,839.01,547.87,5.793,-1.4982
0,-23.88,144.79,88.771,5.9151,NaN,6.778,89.5,882.74,534.72,5.745,-1.8283
0,-5.9921,146.05,88.698,6.4532,NaN,6.709,89.3,876.6,542.43,5.978,-1.634
0,4.9347,141.61,92.917,6.7551,NaN,6.33,92.8,887.5,541.65,6.051,-1.6534
0,10.927,78.935,49.8,3.9398,NaN,6.131,91.8,865.97,540.11,3.442,-1.6922
24.258,-9.1644,132.91,81.654,6.4786,0.24968,6.824,89.5,885.53,540.11,5.324,-1.6922
107.5,-7.3139,115.43,69.801,8.0516,0.18251,7.33,87.9,900.39,553.35,4.53,-1.3626
287.7,0.79307,200.92,118.31,17.144,0.26079,7.931,86,917.79,592.85,8.2,-0.41928
412.1,-13.57,225.48,107.18,20.627,0.21505,8.32,79.26,868.52,597,8.89,-0.32357
592,-16.478,176.51,101.93,24.09,0.19598,8.073,85.2,918.08,602,7.263,-0.20885
685.6,8.7238,87.706,48.529,23.43,0.18088,8.66,82.9,929.58,618.89,3.518,0.17251
913.5,-34.366,268.95,80.419,34.656,0.16879,10.61,65.67,839.4,644.01,9.27,0.72267
0,-34.455,119.95,27.366,3.1838,NaN,10.82,62.09,804.81,656.4,4.153,0.98708
928.8,-40.623,284.31,25.464,33.794,0.15333,11.95,51.97,725.98,661.76,8.93,1.1002
0,-38.86,336.55,12.581,8.7526,NaN,11.98,49.26,689.49,662.66,10.56,1.119
911.4,-32.516,205.18,49.055,31.965,0.14743,11.36,61.29,823.43,660.86,6.796,1.0813
885,-14.011,159.56,42.282,30.264,0.14986,10.97,62.76,821.65,640.5,5.257,0.64699
549.8,-12.865,221.46,53.421,22.901,0.14786,10.17,62.29,773.15,610.4,7.393,-0.017967
86.86,-26.171,207.28,63.324,9.3457,0.17276,9.49,66.73,791.35,588.73,7.039,-0.51509
42.656,-13.923,178.66,50.656,7.2795,0.14294,9.26,65.8,768.33,581.36,6.102,-0.68781
0,-28.198,171.42,65.432,5.8861,0.63772,8.25,73.09,797.12,554.13,6.065,-1.3433
0,-16.39,182.13,66.576,6.5537,0.59107,8.148,72.47,784.9,554.92,6.52,-1.3239
0,-32.868,82.158,32.527,2.308,NaN,7.644,74.8,782.81,531.66,2.917,-1.9061
0,-30.93,95.757,48.803,3.2055,NaN,6.857,83.4,827.05,521.81,3.601,-2.1596
0.25,1.0574,43.616,23.525,1.9309,NaN,7.826,83.2,881.59,544.75,1.573,-1.5758
0,-27.493,11.806,5.7544,-0.28018,NaN,7.509,80.6,835.77,529.38,0.423,-1.9646
0.667,-0.79307,45.997,24.276,1.9788,0.82666,6.74,84.7,833.22,518.81,1.739,-2.2377
0.462,4.0535,21.846,11.926,1.0801,NaN,7.376,84.5,868.29,536.26,0.809,-1.7894
1.008,-9.2525,39.354,19.885,1.4386,NaN,7.241,82.4,838.92,535.49,1.476,-1.8088
21.519,-13.658,81.387,38.105,3.5926,0.14844,7.061,80.7,811.55,537.79,3.135,-1.7505
46.625,9.605,24.826,11.84,2.6205,0.13976,6.757,82,807.6,539.33,0.994,-1.7117
51.98,11.544,90.964,43.368,5.5814,0.15135,7.396,80.7,830.37,551.78,3.506,-1.4013
87.28,11.808,92.292,46.087,6.6989,0.15671,8.39,79.86,879.26,564.43,3.297,-1.0921
167.62,12.689,61.092,25.353,7.5251,0.15896,8.28,75.51,825.19,570.84,2.245,-0.93787
294.82,9.6931,52.691,24.445,10.766,0.16006,9.15,76.72,889.23,597,1.884,-0.32357
402.7,9.1644,40.195,15.494,13.19,0.16331,9.94,71.36,872.2,625.75,1.416,0.32461
456.2,5.1109,114.76,38.037,17.324,0.16691,10.44,67.83,857.23,642.25,3.985,0.68484
477.4,-1.7624,141.76,42.703,18.621,0.16363,10.96,65.94,862.71,668.06,4.941,1.2319
409.9,10.398,191.58,97.864,20.022,0.16873,10.26,77.46,967.24,641.38,6.764,0.66591
334.9,12.072,133.77,61.535,15.297,0.16296,10.48,74.21,940.37,638.75,4.595,0.60912
301.04,8.7238,122,70.176,14.16,0.16771,9.84,81.4,988.27,618.89,4.279,0.17251
215.64,12.689,165.82,97.024,13.856,0.15634,10.12,81.3,1005.7,620.6,5.674,0.21056
61.8,11.544,83.767,44.578,5.6895,0.13999,9.82,78.86,956.14,602,2.835,-0.20885
12.342,15.95,117.72,46.373,5.427,0.078267,10.15,70.17,869.79,594.51,3.794,-0.38098
1.897,16.39,88.56,33.962,3.9722,NaN,10.16,69.61,863.43,596.17,2.862,-0.3427
1.482,12.689,98.128,50.4,4.5897,NaN,9.63,78.12,935.17,592.03,3.308,-0.43844
1.33,12.601,104.84,60.116,5.0465,NaN,9.24,82.3,959.71,590.38,3.666,-0.47676
0,15.245,142.71,78.665,6.675,0.77791,9.32,80.9,948.48,591.2,4.959,-0.45759
0,9.9574,184.73,119.99,8.8768,NaN,8.85,87.3,991.58,585.45,6.654,-0.59182
0,17.095,187.86,134.56,9.5776,NaN,8.063,92.6,997.14,572.45,7.136,-0.89936
