NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
476.3,-69.77,73.016,-21.771,12.914,0.3892,2.818,67.56,505.44,574.96,7.053,-0.83943
571.6,-69.58,74.853,-20.912,15.683,0.39321,3.101,67.77,517.27,583.75,7.085,-0.63154
624.9,-69.866,48.776,-20.771,16.447,0.39565,3.417,63.13,492.74,595.33,4.56,-0.362
647.7,-68.817,47.399,-22.752,17.025,0.39861,3.891,60.5,488.24,608.9,4.247,-0.051979
606.8,-70.342,38.248,-21.08,15.618,0.40684,3.85,59.65,480,613.47,3.557,0.051128
568.9,-63.48,41.192,-28.483,14.616,0.42477,4.858,50.11,432.73,629.21,3.265,0.40082
507.6,-64.814,58.189,-28.858,13.318,0.43348,5.243,51.56,457.35,618.07,4.044,0.15412
372.4,-68.15,47.077,-22.148,9.286,0.4634,5.372,50.56,452.52,612.55,3.117,0.030516
252.6,-67.006,39.061,-17.469,5.8447,0.50635,6.575,44.28,430.68,615.31,2.131,0.092338
150.1,-65.481,52.846,-18.592,3.3534,0.55723,5.662,50.71,463.09,597.13,3.124,-0.3206
83.7,-56.998,71.115,-13.322,2.3836,0.55431,4.96,59.45,517.05,583.75,4.498,-0.63154
16.08,-43.273,39.555,-12.265,0.0027211,0.60208,5.608,50.62,460.54,583.75,2.242,-0.63154
1.716,-14.393,100.75,-35.459,1.4842,0.24205,5.624,49.44,450.3,588.19,5.792,-0.52778
0,-26.974,115.74,-32.725,1.5809,0.24739,5.165,54.48,480.64,584.64,7.087,-0.61078
0,-49.468,149.13,-46.455,1.501,NaN,5.767,50.24,462.14,587.3,8.36,-0.54852
0,-58.905,143.07,-38.284,1.2944,0.10412,5.996,51.32,479.62,589.97,7.814,-0.48631
0,-61.001,149.19,-34.781,1.5066,NaN,6.255,51.5,489.98,589.97,7.835,-0.48631
0,-62.241,79.962,-19.378,-0.046729,NaN,6.351,50.72,485.77,590.86,4.153,-0.46558
0,-56.998,48.251,-18.403,-0.76592,NaN,7.372,39.84,409.27,596.23,2.217,-0.3413
0,-53.281,48.294,-9.4979,-0.4086,NaN,7.502,48.18,499.36,597.13,2.188,-0.3206
17.41,-46.037,52.523,-7.1145,0.47341,0.47114,5.568,58.7,532.57,585.52,3.026,-0.59002
54.1,-11.819,75.206,-0.061744,3.3125,0.43232,4.904,68.17,590.58,590.86,4.969,-0.46558
80.91,14.774,51.567,11.107,4.4672,0.43813,4.482,78.43,659.73,592.64,3.729,-0.42413
93.53,22.018,47.625,19.517,5.1536,0.43486,5.314,83.7,746.11,603.44,3.081,-0.17586
42.88,21.922,42.702,21.931,3.6513,0.48087,6.362,85.3,817.58,608.9,2.367,-0.051979
69.36,20.016,53.955,26.58,4.7931,0.48161,6.166,85,803.76,611.64,3.116,0.0098991
257.7,15.25,65.026,26.45,10.28,0.42898,6.15,81.9,773.59,620.84,3.9,0.21586
370,10.675,120.04,40.956,15.28,0.41824,6.187,79.52,753.03,627.34,7.339,0.35975
453.2,0.19063,138.38,51.829,18.156,0.39989,6.224,80.5,764.26,623.62,8.3,0.27755
478.2,-15.441,150.31,53.659,18.808,0.39315,6.595,78.54,764.96,621.77,8.44,0.23643
479.1,-27.451,172.35,51.213,19.048,0.39385,6.879,75.36,748.45,625.48,9.38,0.31866
463,-32.693,159.22,30.954,17.504,0.40366,7.488,69.35,718.09,632.02,8.1,0.46239
320.1,-36.41,219.57,63.348,15.984,0.41832,6.78,74.8,737.85,617.15,11.82,0.13353
180.1,-29.738,236.6,120.77,14.323,0.43024,6.45,85.1,820.62,618.99,13.49,0.1747
84.03,-38.698,161.88,57.379,7.4641,0.44092,6.471,78.14,754.59,608.9,8.87,-0.051979
24.76,-15.918,141,59.192,5.8967,0.40893,6.163,81.7,772.4,606.17,8.02,-0.1139
0,-8.769,70.316,24.218,2.4194,NaN,6.635,77.3,754.95,609.81,3.758,-0.031348
0,7.6252,114.47,32.763,4.3686,NaN,6.242,75.81,720.63,605.26,6.396,-0.13455
0,-2.2876,103.26,12.175,3.1918,NaN,6.182,68.44,647.88,599.83,5.706,-0.25854
0,-16.68,99.931,3.4755,2.4465,NaN,6.149,64.82,612.22,598.03,5.515,-0.29991
0,-7.8158,135.33,11.784,3.9296,NaN,5.691,68.62,627.9,594.43,7.93,-0.38271
0,-26.879,153.47,30.682,4.4365,NaN,5.01,75.27,656.92,586.41,9.8,-0.56927
0,-49.373,155.86,23.572,3.669,NaN,4.47,74.53,626.4,575.83,10.5,-0.81862
0,-58.428,155.24,24.95,3.4349,NaN,4.232,75.72,625.88,574.09,10.85,-0.86025
28.29,-55.092,146.13,26.412,4.1113,0.41622,3.801,78,625.5,571.47,11.01,-0.92272
161.7,-65.195,138.41,17.027,7.1073,0.38022,3.585,76.44,603.74,568,10.73,-1.0061
275.9,-65.672,103.74,8.3796,9.0934,0.38167,3.417,76.16,594.44,572.34,8.54,-0.90189
404.4,-66.244,123.15,12.788,13.374,0.37708,3.449,77.01,602.43,574.09,10.16,-0.86025
504.6,-65.577,110.18,6.6193,15.68,0.37734,3.312,76.56,593.15,577.59,9.58,-0.77701
580.1,-64.719,97.451,9.7525,17.563,0.37824,3.267,78.69,607.72,582.87,8.84,-0.65231
575.9,-62.241,102.06,12.618,17.725,0.37875,3.696,77.96,620.57,587.3,8.54,-0.54852
328.2,-57.38,93.125,12.597,10.622,0.39713,3.533,78.18,615.22,578.46,7.719,-0.75622
412,-47.371,85.48,7.6278,12.913,0.3974,4.381,74.3,620.58,593.54,6.352,-0.40342
647,-39.27,47.26,-0.3909,18.466,0.38962,4.861,72.14,623.1,625.48,3.699,0.31866
501.6,-41.653,61.55,0.64771,14.73,0.40639,5.039,70.22,614.09,610.72,4.338,-0.010722
374.2,-46.514,64.298,-0.19838,11.052,0.42333,6.025,65.88,616.92,618.07,3.902,0.15412
117.1,-29.929,98.701,4.0403,5.3574,0.43017,6.573,64.64,628.62,611.64,5.358,0.0098991
78.47,-19.349,118.7,4.8247,5.1524,0.42972,6.799,63.34,625.62,607.99,6.161,-0.072614
31.82,-38.698,106.1,4.468,2.925,0.47099,6.607,63.58,619.76,601.63,5.551,-0.21719
10.49,-42.701,132.52,2.4051,2.8975,0.47707,6.388,63.17,606.55,598.93,7.104,-0.27922
0,-33.837,85.779,5.0014,1.6064,NaN,5.779,66.76,614.62,591.75,4.926,-0.44485
0,-24.782,63.961,4.2781,1.2259,NaN,5.201,69.05,610.7,586.41,3.966,-0.56927
0,-8.769,73.523,4.7485,1.9607,0.72792,4.887,70.24,607.79,585.52,4.803,-0.59002
0,1.0485,87.364,-0.742,2.4732,NaN,4.148,70.73,581.2,583.75,6.54,-0.63154
0,0.38126,42.484,-0.069896,1.2072,NaN,3.923,71.35,577.1,577.59,3.241,-0.77701
0,1.4297,54.769,3.5043,1.6842,NaN,3.626,74.75,592.1,574.09,4.382,-0.86025
0,3.0501,65.756,4.875,2.0785,NaN,3.549,75.57,595.35,574.96,5.384,-0.83943
0,-6.2908,87.408,3.6895,2.3924,NaN,3.432,75.45,589.52,578.46,7.515,-0.75622
7.858,-9.7221,129.54,27.816,4.3865,0.50297,3.517,81.5,640.62,585.52,11.37,-0.59002
