NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
6.45,-74.03,55.006,-46.203,-1.6581,0.56769,2.406,23.93,173.86,426.5,4.119,-4.8594
101.44,-36.574,39.51,-41.998,1.7597,0.34933,2.898,28.33,213.15,482.41,3.513,-3.2179
401.2,-80.404,36.009,-55.522,8.4991,0.32628,3.811,30.5,244.76,561.9,3.943,-1.1534
392,-48.046,28.527,-56.242,8.921,0.29774,4.056,29.03,237.01,596.25,3.526,-0.34068
313.3,-50.105,36.603,-61.137,6.7326,0.29357,4.26,32.66,270.49,593.49,4.263,-0.40458
304.2,-38.829,26.38,-47.542,6.8891,0.30706,4.014,32.97,268.38,595.33,3.275,-0.36198
208.9,-24.808,41.492,-57.051,4.7542,0.32743,4.258,36.48,302.08,582.51,4.582,-0.66064
203.8,-20.591,39.271,-49.559,4.878,0.32894,4.076,43.67,357.03,592.57,4.739,-0.42589
159.1,-19.415,49.092,-63.192,3.5427,0.34338,3.894,40.29,325.21,576.18,5.671,-0.81034
103.23,-19.317,55.702,-62.856,2.1654,0.34871,3.933,43.54,352.41,575.28,6.352,-0.83175
189.5,-16.865,48.14,-55.755,4.6551,0.3261,3.749,50.08,400.14,596.25,6.403,-0.34068
67.66,-10.296,34.184,-38.165,1.5059,0.33602,3.59,50.54,399.31,588.9,4.534,-0.51119
36.31,-9.9034,19.687,-16.218,0.84276,0.32884,2.955,60.56,457.49,581.61,2.943,-0.68201
26.27,-15.1,27.412,-32.693,0.16611,0.35455,1.923,51.47,361.3,540.11,4.118,-1.6922
0,-66.48,24.782,-20.848,-1.7644,NaN,1.312,49.89,335.21,487.96,3.074,-3.0641
0,-69.716,19.57,-12.642,-1.7712,NaN,-0.83,58.82,338.42,437.42,2.876,-4.5242
0,-63.833,19.158,-9.9871,-1.542,NaN,-0.01,57.44,350.82,444.07,2.412,-4.3237
0,-66.284,14.142,-9.491,-1.7386,NaN,0.192,47.45,294.08,430.84,1.563,-4.7252
0,-28.632,13.78,-13.19,-0.79104,NaN,-0.212,49.14,295.75,450.8,1.916,-4.1237
0,-40.104,13.869,-11.902,-1.0758,NaN,0.376,46.58,292.56,451.55,1.686,-4.1015
0,-49.027,38.694,-28.22,-1.0876,NaN,2.533,37.03,271.48,462.18,3.333,-3.7912
0,-53.733,30.363,-25.301,-1.373,NaN,1.761,37.53,260.41,456.84,2.901,-3.9462
0,-28.534,35.427,-27.604,-0.58426,NaN,2.426,38.47,279.9,471.44,3.246,-3.5261
0,-23.239,23.554,-17.269,-0.47828,NaN,2.548,38,278.89,466.79,2.07,-3.6586
8.64,-28.043,15.255,-11.006,-0.4275,0.4297,1.675,44.23,305.02,465.25,1.547,-3.7028
70.27,-31.965,40.886,-44.929,0.96651,0.33393,2.326,34.43,248.73,490.36,4.188,-2.9983
165.99,-39.417,34.78,-49.024,3.1687,0.3211,2.837,34.37,257.48,532.42,4.016,-1.8869
180.09,-50.792,33.793,-57.509,2.9784,0.29762,3.222,30.89,237.8,555.73,4.074,-1.304
870.8,-57.361,40.532,-80.94,21.807,0.27008,3.465,36.77,287.97,598.1,5.878,-0.2981
256.7,-57.655,20.665,-37.327,5.145,0.26363,2.631,55.52,409.89,609.29,4.216,-0.043062
426.1,-32.75,24.239,-38.031,10.707,0.27951,2.753,55.64,414.35,603.68,4.524,-0.17049
363.8,-47.85,19.051,-37.171,8.4017,0.28904,3.367,47.12,366.48,620.63,3.294,0.21127
499.7,-47.948,13.077,-16.881,12.636,0.28736,2.635,66.27,489.39,619.68,2.918,0.1901
258.4,-43.242,16.937,-24.32,5.8613,0.29534,1.696,66,455.83,587.98,4.145,-0.53252
344,-45.693,7.1774,-14.874,8.198,0.29681,1.921,61.3,430.24,605.55,1.911,-0.128
410.3,-46.575,14.231,-22.534,10.026,0.31468,1.82,61.99,431.95,587.07,3.272,-0.55386
292.2,-61.48,15.706,-25.738,6.2255,0.34748,1.232,59.61,398.23,561.02,3.561,-1.1749
50.45,-67.853,22.163,-25.015,-0.57137,0.3592,1.84,50.88,355.05,530.72,3.207,-1.9302
0,-68.932,9.6262,-3.346,-1.7674,NaN,-0.418,75.89,449.96,487.96,1.983,-3.0641
0,-78.737,8.0973,1.8982,-1.9392,NaN,-1.214,86.3,482.77,456.09,1.602,-3.9684
0,-77.56,8.7935,2.4704,-1.8702,NaN,-1.598,85.3,463.91,425.78,1.459,-4.8818
0,-78.149,7.3734,2.1486,-1.9359,NaN,-2.005,85.4,450.74,410.15,1.192,-5.3758
0,-77.56,11.713,1.1371,-1.8254,NaN,-1.918,78.23,415.56,400.42,1.692,-5.6916
0,-77.07,15.301,0.057592,-1.7409,NaN,-2.086,73.85,387.46,386.83,2.057,-6.1447
0,-78.051,17.517,-2.5903,-1.7807,NaN,-1.961,66.11,350.06,377.52,2.125,-6.4633
0,-78.541,12.019,-2.1734,-1.9379,NaN,-1.736,60.53,325.87,364.51,1.267,-6.9203
0,-79.914,55.579,-37.521,-1.7449,NaN,0.312,33.17,207.37,386.83,4.709,-6.1447
0,-78.051,42.371,-32.062,-1.911,NaN,0.093,32.39,199.31,390.19,3.783,-6.0312
3.209,-76.874,55.357,-41.789,-1.6953,0.71194,0.05,35.04,214.94,396.99,5.17,-5.8047
45.08,-70.598,47.443,-37.103,-0.42818,0.4022,-0.048,41.02,249.84,415.78,5.036,-5.1959
375.4,-85.012,36.514,-63.639,7.4266,0.35532,0.237,34.25,212.96,475.33,5.463,-3.4159
558,-90.111,24.817,-61.132,12.175,0.315,0.848,33.59,218.29,522.29,4.529,-2.1472
724.5,-89.033,30.674,-92.389,16.185,0.28901,0.744,31.36,202.27,531.57,6.319,-1.9086
869.6,-83.836,22.085,-78.501,20.575,0.27047,0.765,35.94,232.16,551.36,5.539,-1.4116
936.7,-83.247,10.968,-59.365,22.71,0.24823,0.745,40.73,262.73,581.61,4.193,-0.68201
954,-86.777,10.567,-61.956,23.014,0.24525,1.315,33.58,225.68,600.89,3.719,-0.23428
897.5,-86.385,22.575,-81.268,21.226,0.24895,1.678,36.36,250.8,586.16,5.458,-0.57521
800.8,-84.914,27.157,-68.684,19.023,0.26194,2.086,42,298.27,583.42,5.425,-0.63928
656.8,-80.796,15.241,-38.45,15.594,0.28375,2.348,41.43,299.77,591.65,2.967,-0.44721
469.7,-85.503,24.576,-46.234,10.227,0.30712,3.183,38.25,293.65,586.16,3.56,-0.57521
276,-82.855,25.837,-40.68,5.0298,0.33654,3.325,41.03,318.17,580.7,3.49,-0.70339
22.63,-80.698,26.365,-25.905,-1.6251,0.40479,2.206,48.91,350.33,524.81,3.344,-2.082
0,-80.012,36.776,-27.265,-1.9888,NaN,1.756,48.16,334.05,484.78,4.074,-3.152
0,-82.659,31.634,-21.204,-2.0376,NaN,1.205,50.16,334.45,468.34,3.567,-3.6144
0,-85.503,60.34,-56.351,-2.2995,NaN,1.679,27.9,192.46,435.22,5.228,-4.5912
0,-88.346,47.63,-38.569,-2.2366,NaN,1.144,29.46,195.57,412.25,4.009,-5.3083
0,-88.934,57.373,-51.951,-2.3559,NaN,0.966,23.66,155.07,402.49,4.729,-5.6239
0,-88.542,48.977,-38.352,-2.198,NaN,1.208,23.48,156.59,390.87,3.687,-6.0085
0,-87.562,37.36,-27.815,-2.2008,NaN,1.088,21.04,139.11,374.89,2.657,-6.5545
0,-87.17,49.087,-33.611,-2.0225,NaN,0.601,24.48,156.27,367.08,3.591,-6.8287
0,-87.366,38.945,-29.152,-2.1883,NaN,0.029,24.32,148.96,364.51,3.046,-6.9203
0,-87.856,49.399,-39.881,-2.2099,NaN,0.093,20.41,125.59,362.59,3.79,-6.9891
