NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure,Wind Speed
55.82,-97.1,150.2,-86.309,0.63786,0.14779,8.65,37.12,415.96,8.57
11.306,-83.4,128.95,-92.909,-1.0172,0.22879,7.834,36.73,389.4,8.12
0,-85.9,86.835,-64.261,-1.7864,NaN,7.293,39.06,399.09,5.873
0,-83.4,32.439,-23.937,-2.1129,NaN,6.628,42.91,418.88,2.413
0,-80.4,12.003,-10.085,-2.214,NaN,5.092,50.46,442.91,1.162
0,-76.2,9.9544,-12.205,-2.2131,NaN,3.811,53.27,427.48,1.288
0,-73.9,9.6875,-13.619,-2.1956,NaN,3.259,55.85,431.08,1.466
0,-73.25,9.3472,-16.725,-2.2745,NaN,2.7505,56.12,417.85,1.677
0,-72.6,8.5727,-20.087,-2.3728,NaN,2.242,56.39,404.95,1.888
0,-72.4,8.5311,-22.584,-2.4388,NaN,2.216,53.16,381.05,1.902
