NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Wind Speed
478,124.77,32.221,1.9356,17.968,0.53126,8.9,56.1,3.1847
435,137.92,32.214,4.5354,17.199,0.55085,9.755,56.648,3.1755
366.25,123.98,33.576,7.5873,14.99,0.57338,10.585,57.822,3.2192
279.5,84.775,48.553,14.726,12.061,0.60143,10.605,61.168,3.6703
180,38.9,35.979,5.8295,7.3545,0.64549,11.175,53.275,3.2927
80.25,-12.96,46.607,11.021,3.5239,0.72727,14.135,48.918,3.5867
9.5,-31.64,0,-0,-0.62456,0.90974,14.185,22.243,2.151
0,-43.368,0,-0,-1.2234,NaN,14.453,20.893,1.5238
0,-44.322,0,-0,-1.2503,NaN,15.123,16.14,1.7248
0,-47.773,12.312,-3.6042,-1.102,NaN,13.085,27.1,2.6997
0,-47.167,38.557,-4.7008,-0.37551,NaN,11.31,40.167,3.3662
0,-48.903,58.468,-8.9113,0.01845,NaN,8.85,47.495,4.1552
0,-46.6,54.893,-6.4328,0.052486,NaN,9.865,45.2,3.915
0,-44.62,30.847,1.1078,-0.35727,NaN,11.415,46.925,3.1505
0,-42.39,38.892,-10.317,-0.38971,NaN,11.543,32.99,3.376
0,-35.53,9.6111,-3.2361,-0.82245,NaN,14.295,21.848,2.69
0,-40.515,8.442,-1.2363,-0.93964,NaN,12.36,35.885,2.5335
11.5,-39.989,38.459,-0.18537,0.27601,0.57009,12.788,41.175,3.376
88.75,-28.808,64.19,-3.9597,3.39,0.54949,12.675,38.873,4.0228
193.25,8.25,99.882,-1.8746,8.449,0.53685,12.835,40.405,4.9292
298.5,60.5,120.41,1.3851,13.563,0.52354,12.587,42.47,5.5175
388.75,104.35,90.108,7.5946,16.666,0.51467,12.492,46.062,4.709
452,138.33,85.131,10.098,19.339,0.51346,12.387,47.918,4.5865
483,152.62,69.932,11.176,20.219,0.51808,12.215,50.265,4.1945
474.25,159.23,61.763,9.1037,19.869,0.53184,12.9,47.875,3.9543
432.75,174.98,34.159,7.6356,18.323,0.55097,13.785,49.163,3.2927
367.25,156.8,69.316,14.198,17.139,0.57135,14.058,47.633,4.1013
280.75,120.67,11.935,2.1827,11.722,0.59864,14.66,45.18,2.7785
180,60.625,0,0,6.788,0.64072,14.875,41.703,1.9895
78.5,9.155,0,0,2.4727,0.72237,15.487,39.767,1.5583
10.75,-14.218,0,0,-0.097838,0.8886,15.732,39.108,1.6807
0.25,-32.985,0,0,-0.92344,0.95238,15.342,37.858,2.0235
0,-35.74,32.241,1.5393,-0.055283,NaN,14.152,40.095,3.2585
0,-33.82,62.455,5.7097,0.96885,NaN,13.807,42.975,3.9495
0,-31.818,94.381,21.67,2.3762,NaN,12.963,51.498,4.7728
0,-31.78,117.03,32.639,3.3255,NaN,11.498,57.61,5.64
0,-32.69,128.13,37.822,3.7591,NaN,10.523,61.045,6.2768
0,-33.422,97.307,32.645,2.7231,NaN,10.538,62.773,5.2235
0,-31.008,132.33,37.331,3.9115,NaN,11.622,57.415,6.0808
0,-34.05,153.38,51.085,4.8075,NaN,12.35,57.812,6.5122
0,-36.455,94.773,33.009,2.5763,NaN,10.992,62.087,5.052
8.75,-36.248,118.58,40.276,3.7055,0.55696,11.207,61.12,5.7577
86.25,-29.54,59.237,17.681,3.7696,0.54784,12.125,56.82,3.915
189.75,-1.725,46.554,12.144,6.96,0.54139,13.755,50.968,3.582
293.75,37.55,49.311,11.501,11.061,0.53,13.695,49.833,3.6458
383,80.3,13.907,2.6692,13.537,0.52304,14.75,45.392,2.8373
401.25,94.175,7.1328,1.7484,14.226,0.53248,14.607,48.205,2.6312
300.25,56.65,8.6422,2.8412,10.392,0.55036,14.385,52.622,2.6658
474,122.05,5.631,1.7739,17.023,0.53734,14.107,52.637,2.548
428.25,136.55,0,0,15.933,0.55679,14.982,52.523,1.9305
364,93.225,65.79,31.582,15.645,0.57613,11.37,66.98,4.1357
279.75,54.875,66.407,26.118,12.05,0.60135,10.647,65.015,4.2142
180,9.95,77.04,41.704,8.7082,0.63855,9.0225,75.712,4.8362
85.25,-25.763,77.878,45.375,5.155,0.67647,8.9525,77.61,4.8855
18.25,-52.267,51.426,29.594,1.3259,0.69328,8.98,77.242,3.8758
1.25,-42.312,47.318,26.583,0.92634,0.58333,8.775,77.203,3.7435
0,-46.765,55.32,20.398,0.81676,NaN,8.995,68.605,4.0178
0,-70.517,41.537,11.493,-0.49333,NaN,8.9425,64.94,3.5183
0,-76.12,24.317,7.3892,-1.2529,NaN,8.8225,66.435,2.9007
0,-73.252,0,0,-2.0664,NaN,9.3,61.328,1.2152
0,-77.105,0,-0,-2.1751,NaN,10.26,35.965,1.181
0,-66.073,0,-0,-1.8639,NaN,9.745,47.318,0.843
