SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
81.25,41.425,39.825,3.9825,261.71,-315.64,-53.928,98.209,100.28,-2.0932,178.31,0,0,-0.00012739,0,0,0.50985,4.1983e-05,5.2016
19.75,10.065,9.6845,0.96845,259.59,-315.64,-56.049,78.656,80.396,-2.0502,109.67,0,0,-0.00010213,0,0,0.50964,9.5195e-06,3.1789
1.25,0.63681,0.61319,0.061319,234.49,-315.64,-81.142,74.78,77.304,-2.0085,69.484,0,0,-9.8198e-05,0,0,0.50944,0,2.0185
0,0,0,0,233.45,-315.64,-82.186,52.868,54.048,-1.968,22.763,0,0,-6.8657e-05,0,0,0.50925,0,0.69764
0,0,0,0,231.44,-314.44,-82.998,41.708,41.876,-0.5844,0.0016859,0.0014137,0,-5.3194e-05,0,0,0.50906,0,0.016533
0,0,0,0,232.21,-312.57,-80.361,39.255,39.56,1.5485,0.0020271,0.0015094,0,-5.0252e-05,0,0,0.50887,0,-0.043627
0,0,0,0,231.62,-311.07,-79.445,38.304,37.906,3.2371,0.0015303,0.0014327,0,-4.8151e-05,0,0,0.50869,0,-0.091274
0,0,0,0,229.71,-306.57,-76.855,34.863,33.647,8.3446,0.00039238,0,0,-4.2742e-05,0,0,0.50851,0,-0.23539
0,0,0,0,229.15,-309.87,-80.715,40.775,35.51,4.4326,0.0021371,0.0015265,0,-4.5108e-05,0,0,0.50833,0,-0.12498
0,0,0,0,228.51,-308.82,-80.312,38.419,36.322,5.5725,0.0013394,0.00044823,0,-4.614e-05,0,0,0.50816,0,-0.15716
0,0,0,0,228.72,-310.46,-81.738,46.835,31.278,3.6245,0,-9.2623e-05,0,-3.9732e-05,0,0,0.50799,0,-0.10229
0.25,0.12696,0.12304,0.012304,229.42,-308.18,-78.758,47.926,24.522,6.2005,0.001753,0.0013882,0,-3.1151e-05,0,0,0.50783,0,-0.17452
19,9.6457,9.3543,0.93543,230.72,-307.72,-76.995,73.071,-11.144,6.6499,0.00054451,0,1.4157e-05,0,0,0,0.50767,0,-0.16119
144.5,73.335,71.165,7.1165,231.53,-314.54,-83.008,64.131,-43.895,-1.2781,0,-0.00012132,5.576e-05,0,0,0,0.50751,0,0.23676
355,180.11,174.89,17.489,233.76,-315.64,-81.878,80.428,-48.384,-2.4816,105.08,0,6.1461e-05,0,0,0,0.50736,0.00018754,3.5278
671,340.33,330.67,33.067,242.55,-315.64,-73.085,91.001,10.932,-2.4266,324.02,0,0,-1.3887e-05,0,0,0.5072,0.00035547,10.142
850.75,431.38,419.37,41.937,242.23,-315.64,-73.409,76.669,27.287,-2.373,405.61,0,0,-3.4662e-05,0,0,0.50706,0.00045111,12.692
976.75,495.12,481.63,48.163,242.97,-315.64,-72.666,90.762,30.349,-2.3208,479.59,0,0,-3.8552e-05,0,0,0.50691,0.00051823,14.953
1043.8,528.96,514.84,51.484,245.66,-315.64,-69.975,120.27,34.723,-2.27,546.1,0,0,-4.4108e-05,0,0,0.50677,0.00055405,16.922
1045,529.43,515.57,51.557,246.81,-315.64,-68.823,101.55,31.695,-2.2207,526.22,0,0,-4.0262e-05,0,0,0.50663,0.00055486,16.362
978,495.35,482.65,48.265,247.71,-315.64,-67.923,70.986,31.076,-2.1728,466.35,0,0,-3.9475e-05,0,0,0.50649,0.0005194,14.578
856,433.44,422.56,42.256,247.66,-315.64,-67.972,63.94,30.907,-2.1264,405.05,0,0,-3.9261e-05,0,0,0.50636,0.00045465,12.678
716,362.46,353.54,35.354,251.13,-315.64,-64.505,72.048,32.422,-2.0814,356.07,0,0,-4.1186e-05,0,0,0.50623,0.00038028,11.101
487,246.47,240.53,24.053,253.76,-315.64,-61.876,103.92,51.955,-2.0378,308.44,0,0,-6.5998e-05,0,0,0.5061,0.00025849,9.4369
246.5,124.72,121.78,12.178,251.49,-315.64,-64.151,93.865,51.461,-1.9956,188.78,0,0,-6.537e-05,0,0,0.50597,0.00013051,5.7252
80,40.468,39.532,3.9532,249.48,-315.64,-66.152,64.167,36.531,-1.9548,68.171,0,0,-4.6405e-05,0,0,0.50585,4.1882e-05,2.0897
1.5,0.75859,0.74141,0.074141,250.55,-315.64,-65.088,49.471,32.262,-1.9154,15.397,0,0,-4.0982e-05,0,0,0.50573,8.916e-08,0.49047
0,0,0,0,251.74,-311.65,-59.907,34.054,23.092,2.7601,0,-0.00019364,0,-2.9333e-05,0,0,0.50561,0,-0.077889
0,0,0,0,252.63,-315.64,-63.003,49.654,29.766,-1.9199,14.497,0,0,-3.7812e-05,0,0,0.50549,0,0.46312
0,0,0,0,252.71,-313.83,-61.123,36.203,24.707,0.2122,0,-0.00026688,0,-3.1385e-05,0,0,0.50538,0,-0.0060144
0,0,0,0,253.62,-315.64,-62.019,46.751,24.758,-1.8802,7.609,0,0,-3.1449e-05,0,0,0.50527,0,0.26769
0,0,0,0,254.57,-308.44,-53.868,31.101,16.168,6.5983,0,-0.00029345,0,-2.0538e-05,0,0,0.50516,0,-0.18616
0,0,0,0,255.44,-303.37,-47.926,22.843,12.55,12.532,0,-0.00023747,0,-1.5942e-05,0,0,0.50506,0,-0.35355
0,0,0,0,255.84,-288.2,-32.357,0.94861,0.51834,30.891,0.00039811,0.00036598,0,-6.5844e-07,0,0,0.50495,0,-0.87141
0,0,0,0,258.79,-299.65,-40.857,16.754,7.7961,16.307,0.00065381,0.00045492,0,-9.9033e-06,0,0,0.50485,0,-0.45999
0.25,0.12619,0.12381,0.012381,253.57,-315.64,-62.062,58.526,12.405,-2.958,6.0218,0,0,-1.5757e-05,0,0,0.50475,0,0.25367
46,23.214,22.786,2.2786,258.8,-315.64,-56.834,65.237,10.979,-2.8888,37.001,0,0,-1.3946e-05,0,0,0.50465,2.3657e-05,1.1896
241.75,121.98,119.77,11.977,256.52,-315.64,-59.113,38.507,5.6947,-2.8215,90.064,0,0,-7.2339e-06,0,0,0.50456,0.00012822,2.9582
418.25,210.99,207.26,20.726,252.5,-315.64,-63.132,49.583,7.0547,-2.7562,177.28,0,0,-8.9616e-06,0,0,0.50446,0.00022254,5.6635
688.5,347.26,341.24,34.124,251.94,-315.64,-63.702,76.114,-8.7397,-2.6928,308.1,0,1.1102e-05,0,0,0,0.50437,0.00036773,9.7299
874.5,440.99,433.51,43.351,250.89,-315.64,-64.746,73.044,-13.365,-2.6303,382.46,0,1.6978e-05,0,0,0,0.50428,0.00046718,12.086
976,492.09,483.91,48.391,254.06,-315.64,-61.574,62.506,-8.7066,-2.5694,425.17,0,1.106e-05,0,0,0,0.50419,0.00052151,13.432
965,486.46,478.54,47.854,256.38,-315.64,-59.258,67.477,8.1278,-2.5104,444.52,0,0,-1.0325e-05,0,0,0.5041,0.00051572,13.961
1033.5,520.9,512.6,51.26,259.35,-315.64,-56.284,57.199,24.357,-2.4532,484.15,0,0,-3.0941e-05,0,0,0.50402,0.00055242,15.173
990,498.9,491.1,49.11,265.57,-315.64,-50.062,88.436,39.399,-2.3976,517.37,0,0,-5.0048e-05,0,0,0.50394,0.00052926,16.048
845.5,426.01,419.49,41.949,269.06,-315.64,-46.573,159.12,94.204,-2.3438,581.95,0,0,-0.00011967,0,0,0.50386,0.00045207,17.666
669.5,337.28,332.22,33.222,265.98,-315.64,-49.653,135.59,63.373,-2.2917,446.02,0,0,-8.0502e-05,0,0,0.50378,0.00035801,13.584
459.75,231.58,228.17,22.817,260.09,-315.64,-55.546,109.96,60.889,-2.2412,318.42,0,0,-7.7346e-05,0,0,0.5037,0.00024586,9.6893
218.25,109.92,108.33,10.833,257.09,-315.64,-58.548,107.24,83.164,-2.1925,227.17,0,0,-0.00010564,0,0,0.50362,0.00011669,6.7757
27.5,13.848,13.652,1.3652,253.77,-315.64,-61.867,117.65,136.01,-2.1454,201.93,0,0,-0.00017277,0,0,0.50355,1.4642e-05,5.7955
1.25,0.62934,0.62066,0.062066,266.5,-315.64,-49.137,111.92,130.31,-2.0996,191.54,0,0,-0.00016553,0,0,0.50347,5.9585e-07,5.4644
0,0,0,0,264.04,-315.64,-51.595,109.03,128.24,-2.0552,183.61,0,0,-0.0001629,0,0,0.5034,0,5.2377
0,0,0,0,260.34,-315.64,-55.298,92.817,106.76,-2.0121,142.27,0,0,-0.00013562,0,0,0.50333,0,4.0701
0,0,0,0,260.44,-315.64,-55.201,79.063,69.91,-1.9703,91.802,0,0,-8.8806e-05,0,0,0.50326,0,2.6453
0,0,0,0,260.97,-315.64,-54.67,107.76,100.17,-1.9296,151.34,0,0,-0.00012725,0,0,0.5032,0,4.3236
0,0,0,0,254.95,-315.64,-60.686,74.75,70.232,-1.8902,82.406,0,0,-8.9215e-05,0,0,0.50313,0,2.378
0,0,0,0,255.35,-315.64,-60.283,81.273,59.758,-1.8518,78.896,0,0,-7.591e-05,0,0,0.50307,0,2.2779
0,0,0,0,252.77,-315.64,-62.872,72.981,46.636,-1.8159,54.93,0,0,-5.9241e-05,0,0,0.503,0,1.6008
0,0,0,0,250.58,-315.64,-65.053,67.117,35.518,-1.7796,35.802,0,0,-4.5118e-05,0,0,0.50294,0,1.0602
0,0,0,0,247.65,-315.64,-67.989,46.379,31.653,-1.7444,8.2983,0,0,-4.0209e-05,0,0,0.50288,0,0.2833
45,22.627,22.373,2.2373,244.62,-315.64,-71.013,32.886,31.637,-1.7101,11.935,0,0,-4.0188e-05,0,0,0.50282,2.4042e-05,0.44804
