SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
773.1,-278.32,494.78,-31.196,0,0,13.078
1013,-364.68,648.32,-44.042,0,0,17.046
520.1,-187.24,332.86,-17.671,0,0,8.8915
261.4,-94.104,167.3,-8.6772,0,0,4.4746
262,-94.32,167.68,-14.865,0,0,4.3109
164,-59.04,104.96,-17.583,0,0,2.4649
166.2,-59.832,106.37,-51.604,0,0,1.5449
156.8,-56.448,100.35,-27.683,3.8658,-2.5819,2.0862
84.02,-30.247,53.773,-28.907,3.7015,-2.5945,0.73267
11.24,-4.0464,7.1936,-30.128,3.5474,-2.6164,-0.62072
-0.568,0.20448,-0.36352,-29.991,0,0,-0.85628
-1.76,0.6336,-1.1264,-27.366,9.6555,-6.4784,-0.71413
-2.101,0.75636,-1.3446,-27.984,18.829,-12.642,-0.65283
-2.442,0.87912,-1.5629,-28.602,26.351,-17.677,-0.60625
-0.975,0.351,-0.624,-35.169,3.2242,-2.3149,-0.98406
-0.45,0.162,-0.288,-28.73,21.546,-14.9,-0.6311
-1.775,0.639,-1.136,-34.238,7.7092,-5.3752,-0.93203
-1.299,0.46764,-0.83136,-6.3467,1.7264,-1.379,-0.19269
-0.183,0.06588,-0.11712,-6.2182,0.58507,-0.48651,-0.17594
6.9,-2.484,4.416,-4.9015,1.6964,-1.9216,-0.020048
58.46,-21.046,37.414,-9.4097,0,0,0.79
181.2,-65.232,115.97,-12.042,0,0,2.9317
245.05,-88.218,156.83,-12.877,0,0,4.0609
308.9,-111.2,197.7,-14.049,0,0,5.1806
264.2,-95.112,169.09,-10.681,0,0,4.4686
229.6,-82.656,146.94,-10.895,0,0,3.8379
265.8,-95.688,170.11,-13.1,0,0,4.4293
187.3,-67.428,119.87,-9.9369,0,0,3.1012
136.7,-49.212,87.488,-19.889,8.8991,-6.6592,1.9701
130.5,-46.98,83.52,-32.311,2.3071,-1.2101,1.4755
82.5,-29.7,52.8,-44.237,2.2372,-0.62298,0.28709
67.32,-24.235,43.085,-45.793,8.9036,-5.3353,0.024278
26.29,-9.4644,16.826,-49.88,4.1172,-0.95349,-0.84321
