SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
-6.15,1.599,-4.551,-45.167,6.6963,-33.76,-2.166
-5.895,1.5327,-4.3623,-47.097,6.471,-35.014,-2.2568
-2.576,0.66976,-1.9062,-42.866,8.6392,-30.553,-1.8812
-3.76,0.9776,-2.7824,-48.116,3.199,-16.914,-1.8227
-4.619,1.2009,-3.4181,-22.359,1.5243,-19.761,-1.2416
-2.623,0.68198,-1.941,-20.789,2.466,-20.507,-1.1501
13.95,-3.627,10.323,-26.734,0.14169,-20.655,-1.0416
29.18,-7.5868,21.593,-37.113,-9.4424,-31.971,-1.6061
716.6,-186.32,530.28,-71.659,0,0,12.938
862,-224.12,637.88,-65.671,2.5987e-61,-3.7339e-61,16.142
982,-255.32,726.68,-67.598,0,0,18.592
1087.5,-282.75,804.75,-64.915,6.5476,-9.616,20.784
298.1,-77.506,220.59,-21.075,23.614,-40.7,5.1464
1004,-261.04,742.96,-65.628,20.816,-32.801,18.769
834,-216.84,617.16,-63.689,12.179,-11.037,15.645
650.8,-169.21,481.59,-68.145,15.02,-11.161,11.772
188.4,-48.984,139.42,-74.708,6.9742,-5.5526,1.8655
117.6,-30.576,87.024,-50.01,4.4508,-5.9355,1.0023
15.64,-4.0664,11.574,-54.332,0,0,-1.2062
-3.527,0.91702,-2.61,-54.313,0,0,-1.6058
-2.507,0.65182,-1.8552,-60.23,0,0,-1.7514
-3.737,0.97162,-2.7654,-56.901,0,0,-1.6832
-6.314,1.6416,-4.6724,-58.678,-2.5728,-15.863,-2.3072
-2.948,0.76648,-2.1815,-55.242,0.19533,-11.811,-1.9476
-2.809,0.73034,-2.0787,-55.256,0,0,-1.6174
-3.134,0.81484,-2.3192,-63.325,0,0,-1.8518
-4.249,1.1047,-3.1443,-65.678,-10.957,-20.017,-2.8152
-4.225,1.0985,-3.1265,-64.837,0,0,-1.9172
-4.411,1.1469,-3.2641,-38.175,0,0,-1.169
-3.297,0.85722,-2.4398,-41.068,0,0,-1.2273
13.65,-3.549,10.101,-40.551,-12.431,-24.333,-1.8961
28.96,-7.5296,21.43,-37.975,0,0,-0.46673
433.9,-112.81,321.09,-61.058,0,0,7.3353
876,-227.76,648.24,-68.056,9.8521e-06,-2.6844e-05,16.367
1081.9,-281.29,800.61,-70.757,0.85336,-2.2496,20.549
1081.7,-281.24,800.46,-70.596,18.554,-54.513,19.575
1081.4,-281.16,800.24,-69.635,2.6612,-6.9838,20.488
1026,-266.76,759.24,-62.014,0,0,19.669
822,-213.72,608.28,-64.21,12.749,-24.878,15.006
688.7,-179.06,509.64,-68.329,14.436,-22.586,12.219
479,-124.54,354.46,-70.846,6.9137,-13.179,7.8239
266.7,-69.342,197.36,-41.708,2.1324,-4.8614,4.3139
52.01,-13.523,38.487,-47.466,2.2156,-8.866,-0.4409
-2.552,0.66352,-1.8885,-53.666,0,0,-1.5672
-3.133,0.81458,-2.3184,-57.301,0,0,-1.6818
-3.18,0.8268,-2.3532,-60.891,0,0,-1.7841
-3.343,0.86918,-2.4738,-63.075,0,0,-1.8491
-3.065,0.7969,-2.2681,-63.499,0,0,-1.8553
-3.483,0.90558,-2.5774,-61.062,0,0,-1.7952
-3.715,0.9659,-2.7491,-60.041,0,0,-1.7713
-2.368,0.61568,-1.7523,-58.126,0,0,-1.6892
-3.645,0.9477,-2.6973,-58.57,-2.5133,-27.93,-2.5871
-3.134,0.81484,-2.3192,-28.535,-2.8994,-42.105,-2.1399
-3.784,0.98384,-2.8002,-25.478,0.090616,-31.823,-1.6929
13.44,-3.4944,9.9456,-28.139,-0.91285,-40.97,-1.6947
27.33,-7.1058,20.224,-26.992,0.71896,-57.222,-1.7849
33.78,-8.7828,24.997,-22.547,3.988,-45.237,-1.0945
898,-233.48,664.52,-64.281,19.587,-75.723,15.349
1003,-260.78,742.22,-64.588,8.6813,-24.028,18.683
1048,-272.48,775.52,-64.487,10.738,-20.54,19.781
189.5,-49.27,140.23,-14.497,6.4218,-12.139,3.3856
332.8,-86.528,246.27,-26.486,0,0,6.2001
264.7,-68.822,195.88,-37.034,8.6682,-14.462,4.3175
229.8,-59.748,170.05,-53.944,3.8065,-5.5768,3.2254
82.4,-21.424,60.976,-77.497,4.2825,-9.367,-0.6095
21.69,-5.6394,16.051,-56.369,0,0,-1.1374
5.568,-1.4477,4.1203,-59.401,0,0,-1.5595
-0.603,0.15678,-0.44622,-63.873,0,0,-1.8144
-3.133,0.81458,-2.3184,-60.958,0,0,-1.785
-3.505,0.9113,-2.5937,-58.665,0,0,-1.7281
-3.134,0.81484,-2.3192,-57.474,0,0,-1.6867
-4.318,1.1227,-3.1953,-59.87,-4.4964,-37.992,-2.9776
-3.366,0.87516,-2.4908,-62.504,-7.9288,-44.29,-3.3066
-3.506,0.91156,-2.5944,-63.053,-7.9191,-42.843,-3.2839
-3.808,0.99008,-2.8179,-62.249,-6.7864,-41.831,-3.207
-3.111,0.80886,-2.3021,-62.799,-6.4702,-39.712,-3.1393
-2.81,0.7306,-2.0794,-30.002,-3.2391,-37.833,-2.0636
-3.529,0.91754,-2.6115,-31.307,0,0,-0.95682
13.72,-3.5672,10.153,-38.094,-13.326,-61.241,-2.8917
27.65,-7.189,20.461,-37.192,-8.1089,-43.386,-1.9246
36.66,-9.5316,27.128,-36.421,-8.2599,-47.952,-1.8479
858,-223.08,634.92,-70.169,3.4123,-23.265,15.371
987,-256.62,730.38,-66.686,0.70406,-1.5675,18.698
1069.7,-278.12,791.58,-67.739,9.2259,-18.063,20.17
1069.5,-278.07,791.43,-68.594,10.762,-16.267,20.236
228.2,-59.332,168.87,-29.554,5.4394,-10.279,3.7935
751.2,-195.31,555.89,-70.167,5.0846,-6.6562,13.658
37.42,-9.7292,27.691,-21.526,2.2648,-4.5998,0.10803
311.4,-80.964,230.44,-87.296,-2.1565,-12.215,3.6325
6.055,-1.5743,4.4807,-60.967,0,0,-1.5935
3.202,-0.83252,2.3695,-65.218,0,0,-1.7729
-0.232,0.06032,-0.17168,-66.655,0,0,-1.8851
-0.186,0.04836,-0.13764,-66.465,0,0,-1.8788
-1.184,0.30784,-0.87616,-68.712,0,0,-1.9631
-2.391,0.62166,-1.7693,-69.696,0,0,-2.016
-2.786,0.72436,-2.0616,-62.231,-5.6895,-17.156,-2.4581
-1.045,0.2717,-0.7733,-67.28,0,0,-1.9198
-1.857,0.48282,-1.3742,-67.997,0,0,-1.9569
-1.95,0.507,-1.443,-66.73,0,0,-1.9231
-10.21,2.6546,-7.5554,-58.28,-3.1985,-40.197,-3.0814
-8.87,2.3062,-6.5638,-36.969,-11.818,-40.837,-2.7134
-6.408,1.6661,-4.7419,-40.468,0,0,-1.2754
10.33,-2.6858,7.6442,-45.985,0,0,-1.0816
25.62,-6.6612,18.959,-42.803,0,0,-0.67264
