SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
16.75,-9.5475,7.2025,-81.539,24.917,21.848,-0.77776
7.75,-4.4175,3.3325,-50.425,25.124,22.281,0.0087983
0.5,-0.285,0.215,-55.528,0.17933,0.10419,-1.5524
0,0,0,-61.644,-25.074,-21.435,-3.051
0,0,0,-64.128,-31.367,-27.061,-3.4573
0,0,0,-66.957,-43.23,-36.401,-4.1352
0,0,0,-68.943,-47.423,-39.613,-4.4001
0,0,0,-69.585,-50.401,-41.838,-4.565
0,0,0,-70.834,-58.995,-49.045,-5.046
0,0,0,-72.369,-70.005,-57.311,-5.6331
0,0,0,-73.085,-67.438,-55.075,-5.5178
0,0,0,-74.326,-64.331,-51.912,-5.3759
0,0,0,-46.859,-72.167,-57.929,-4.9918
1.25,-0.7125,0.5375,-47.025,-70.452,-56.791,-4.9009
104,-59.28,44.72,-58.568,-65.708,-53.303,-3.7479
291.5,-166.16,125.35,-69.504,-58.516,-49.156,-1.4621
443.75,-252.94,190.81,-74.199,-49.849,-42.892,0.67344
434.75,-247.81,186.94,-66.056,-29.22,-26.624,1.8348
612,-348.84,263.16,-74.44,-22.353,-22.252,4.0654
669,-381.33,287.67,-78.117,-16.092,-17.349,4.9681
622,-354.54,267.46,-78.446,-9.6944,-11.576,4.732
456.75,-260.35,196.4,-74.324,-15.111,-15.65,2.576
328.75,-187.39,141.36,-76.491,-22.684,-21.915,0.57188
213,-121.41,91.59,-86.413,-19.338,-18.044,-0.9085
99.25,-56.572,42.678,-88.366,-14.519,-13.225,-2.0715
29.75,-16.958,12.793,-59.142,-7.7541,-6.9795,-1.7231
1.25,-0.7125,0.5375,-60.265,-7.5251,-6.6628,-2.0851
0,0,0,-58.74,-6.2541,-5.4041,-1.9859
0,0,0,-56.608,-1.1679,-0.99434,-1.6579
0,0,0,-56.405,0,0,-1.5912
0,0,0,-56.133,0,0,-1.5835
0,0,0,-56.073,-1.0431,-0.83051,-1.6346
0,0,0,-54.821,2.5926,2.3831,-1.4061
0,0,0,-49.513,19.274,17.248,-0.36646
0,0,0,-47.934,26.034,24.067,0.061141
0,0,0,-47.175,25.271,23.366,0.041245
0,0,0,-15.638,28.783,26.665,1.123
1.25,-0.7125,0.5375,-15.889,25.445,23.575,0.94978
153.25,-87.353,65.898,-33.946,30.671,17.341,2.2557
376.25,-214.46,161.79,-45.715,40.801,-2.9458,4.3423
584.75,-333.31,251.44,-53.805,53.649,-4.9583,6.9488
752.75,-429.07,323.68,-65.236,45.894,9.1874,8.8445
867.75,-494.62,373.13,-67.679,44.092,18.912,10.394
921.5,-525.26,396.25,-58.122,50.087,-6.3184,10.773
913.25,-520.55,392.7,-46.28,64.096,-29.007,10.762
836.75,-476.95,359.8,-49.32,56.788,-16.736,9.8885
700.5,-399.28,301.22,-51.593,49.102,7.0404,8.6255
522.25,-297.68,224.57,-57.642,19.724,12.255,5.611
271.25,-154.61,116.64,-62.54,29.001,11.799,2.677
94.5,-53.865,40.635,-28.263,50.375,15.55,2.2087
2,-1.14,0.86,-30.041,44.423,23.259,1.0861
0,0,0,-33.494,36.128,26.37,0.81818
0,0,0,-32.779,45.057,28.216,1.1423
0,0,0,-33.799,59.589,22.189,1.3535
0,0,0,-36.343,60.602,34.219,1.6496
